date_id,year,month,day,quarter,is_month_end,is_quarter_end,is_year_end
2023-05-03,2023,5,3,2,0,0,0
2023-05-04,2023,5,4,2,0,0,0
2023-05-05,2023,5,5,2,0,0,0
2023-05-06,2023,5,6,2,0,0,0
2023-05-07,2023,5,7,2,0,0,0
2023-05-08,2023,5,8,2,0,0,0
2023-05-09,2023,5,9,2,0,0,0
2023-05-10,2023,5,10,2,0,0,0
2023-05-11,2023,5,11,2,0,0,0
2023-05-12,2023,5,12,2,0,0,0
2023-05-13,2023,5,13,2,0,0,0
2023-05-14,2023,5,14,2,0,0,0
2023-05-15,2023,5,15,2,0,0,0
2023-05-16,2023,5,16,2,0,0,0
2023-05-17,2023,5,17,2,0,0,0
2023-05-18,2023,5,18,2,0,0,0
2023-05-19,2023,5,19,2,0,0,0
2023-05-20,2023,5,20,2,0,0,0
2023-05-21,2023,5,21,2,0,0,0
2023-05-22,2023,5,22,2,0,0,0
2023-05-23,2023,5,23,2,0,0,0
2023-05-24,2023,5,24,2,0,0,0
2023-05-25,2023,5,25,2,0,0,0
2023-05-26,2023,5,26,2,0,0,0
2023-05-27,2023,5,27,2,0,0,0
2023-05-28,2023,5,28,2,0,0,0
2023-05-29,2023,5,29,2,0,0,0
2023-05-30,2023,5,30,2,0,0,0
2023-05-31,2023,5,31,2,1,0,0
2023-06-01,2023,6,1,2,0,0,0
2023-06-02,2023,6,2,2,0,0,0
2023-06-03,2023,6,3,2,0,0,0
2023-06-04,2023,6,4,2,0,0,0
2023-06-05,2023,6,5,2,0,0,0
2023-06-06,2023,6,6,2,0,0,0
2023-06-07,2023,6,7,2,0,0,0
2023-06-08,2023,6,8,2,0,0,0
2023-06-09,2023,6,9,2,0,0,0
2023-06-10,2023,6,10,2,0,0,0
2023-06-11,2023,6,11,2,0,0,0
2023-06-12,2023,6,12,2,0,0,0
2023-06-13,2023,6,13,2,0,0,0
2023-06-14,2023,6,14,2,0,0,0
2023-06-15,2023,6,15,2,0,0,0
2023-06-16,2023,6,16,2,0,0,0
2023-06-17,2023,6,17,2,0,0,0
2023-06-18,2023,6,18,2,0,0,0
2023-06-19,2023,6,19,2,0,0,0
2023-06-20,2023,6,20,2,0,0,0
2023-06-21,2023,6,21,2,0,0,0
2023-06-22,2023,6,22,2,0,0,0
2023-06-23,2023,6,23,2,0,0,0
2023-06-24,2023,6,24,2,0,0,0
2023-06-25,2023,6,25,2,0,0,0
2023-06-26,2023,6,26,2,0,0,0
2023-06-27,2023,6,27,2,0,0,0
2023-06-28,2023,6,28,2,0,1,0
2023-06-29,2023,6,29,2,0,1,0
2023-06-30,2023,6,30,2,1,1,0
2023-07-01,2023,7,1,3,0,0,0
2023-07-02,2023,7,2,3,0,0,0
2023-07-03,2023,7,3,3,0,0,0
2023-07-04,2023,7,4,3,0,0,0
2023-07-05,2023,7,5,3,0,0,0
2023-07-06,2023,7,6,3,0,0,0
2023-07-07,2023,7,7,3,0,0,0
2023-07-08,2023,7,8,3,0,0,0
2023-07-09,2023,7,9,3,0,0,0
2023-07-10,2023,7,10,3,0,0,0
2023-07-11,2023,7,11,3,0,0,0
2023-07-12,2023,7,12,3,0,0,0
2023-07-13,2023,7,13,3,0,0,0
2023-07-14,2023,7,14,3,0,0,0
2023-07-15,2023,7,15,3,0,0,0
2023-07-16,2023,7,16,3,0,0,0
2023-07-17,2023,7,17,3,0,0,0
2023-07-18,2023,7,18,3,0,0,0
2023-07-19,2023,7,19,3,0,0,0
2023-07-20,2023,7,20,3,0,0,0
2023-07-21,2023,7,21,3,0,0,0
2023-07-22,2023,7,22,3,0,0,0
2023-07-23,2023,7,23,3,0,0,0
2023-07-24,2023,7,24,3,0,0,0
2023-07-25,2023,7,25,3,0,0,0
2023-07-26,2023,7,26,3,0,0,0
2023-07-27,2023,7,27,3,0,0,0
2023-07-28,2023,7,28,3,0,0,0
2023-07-29,2023,7,29,3,0,0,0
2023-07-30,2023,7,30,3,0,0,0
2023-07-31,2023,7,31,3,1,0,0
2023-08-01,2023,8,1,3,0,0,0
